AACS	[["125101785","125102010"],["125102151","125102306"]]	TP53	[["7661779","7674182"]]
AAK1	[["69482113","69482352"]]	TP53	[["7661779","7674182"]]
AARD	[["116944216","116944425"]]	TP53	[["7661786","7661994"]]
ABCA9	[["69033084","69033299"]]	TP53	[["7661786","7662001"]]
ABCB9	[["122931668","122931900"],["122939550","122939788"]]	TP53	[["7661779","7674182"]]
ABCC1	[["16056428","16056561"]]	TP53	[["7661885","7674182"]]
ABCC3	[["50664466","50664702"]]	TP53	[["7661779","7674182"]]
ABCC4	[["95055644","95062706"]]	TP53	[["7661803","7674182"]]
ABHD1	[["27124902","27125137"]]	TP53	[["7661779","7674182"]]
ABHD11	[["73736258","73736496"]]	TP53	[["7661779","7674182"]]
ABL2	[["179132561","179132798"],["179132894","179133113"]]	TP53	[["7661785","7674182"]]
AC003681.1	[["29985261","29985499"],["30018965","30019202"]]	TP53	[["7661779","7674182"]]
AC004264.2	[["30276797","30276948"]]	TP53	[["7661859","7662010"]]
AC004551.1	[["112932353","112932585"]]	TP53	[["7661786","7674182"]]
AC004834.1	[["99254010","99254245"]]	TP53	[["7661782","7674182"]]
AC004893.3	[["98989989","98990204"]]	TP53	[["7661803","7674182"]]
AC004990.1	[["77992379","77992617"]]	TP53	[["7661785","7674182"]]
AC005005.4	[["31052536","31052766"]]	TP53	[["7661785","7674182"]]
AC005291.1	[["10341067","10341308"]]	TP53	[["7661785","7674182"]]
AC005329.3	[["1386521","1386753"]]	TP53	[["7661785","7674182"]]
AC005670.3	[["47016106","47016200"]]	TP53	[["7661922","7674182"]]
AC005775.1	[["490117","490350"]]	TP53	[["7661785","7674182"]]
AC005840.1	[["6389563","6389802"]]	TP53	[["7661779","7674182"]]
AC006001.3	[["66542408","66542624"]]	TP53	[["7661800","7674182"]]
AC006329.1	[["101313890","101314108"]]	TP53	[["7661794","7662011"]]
AC006387.1	[["107077963","107078197"]]	TP53	[["7661785","7674182"]]
AC006478.2	[["51863472","51863710"]]	TP53	[["7661779","7674182"]]
AC006504.5	[["27829676","27829890"]]	TP53	[["7661803","7674182"]]
AC006509.1	[["47731646","47731855"]]	TP53	[["7661808","7674182"]]
AC007272.1	[["201101382","201101617"]]	TP53	[["7661779","7662011"]]
AC007389.1	[["65499925","65500141"]]	TP53	[["7661801","7674182"]]
AC007391.2	[["37340288","37340519"]]	TP53	[["7661787","7674182"]]
AC007405.3	[["170776504","170776632"]]	TP53	[["7661886","7662014"]]
AC007620.2	[["179397757","179398521"]]	TP53	[["7661780","7674182"]]
AC007686.3	[["77029659","77029897"]]	TP53	[["7661780","7674182"]]
AC007785.3	[["46028258","46030362"]]	TP53	[["7661781","7674182"]]
AC007920.2	[["187297526","187297747"]]	TP53	[["7661796","7674182"]]
AC008040.1	[["169944782","169945020"]]	TP53	[["7661779","7674182"]]
AC008079.1	[["18128571","18128803"]]	TP53	[["7661785","7674182"]]
AC008149.2	[["96231510","96231740"]]	TP53	[["7661779","7674182"]]
AC008429.1	[["172955166","172955385"]]	TP53	[["7661798","7674182"]]
AC008453.2	[["150621007","150621209"]]	TP53	[["7661815","7674182"]]
AC008505.1	[["103885555","103885754"]]	TP53	[["7661779","7661978"]]
AC008537.3	[["40841653","40841882"]]	TP53	[["7661788","7674182"]]
AC008549.1	[["115739375","115739507"]]	TP53	[["7661801","7661933"]]
AC008554.1	[["20539070","20539283"]]	TP53	[["7661785","7662003"]]
AC008555.2	[["34852366","34852543"]]	TP53	[["7661840","7674182"]]
AC008758.1	[["12463688","12463917"]]	TP53	[["7661788","7674182"]]
AC008764.6	[["16544399","16544635"]]	TP53	[["7661793","7674182"]]
AC008946.1	[["8015653","8015888"]]	TP53	[["7661782","7674182"]]
